,draw_no,num1,num2,num3,num4,num5,num6,num7
0,4596,13,14,16,19,27,33,34
1,4595,4,5,21,27,28,35,39
2,4594,1,2,20,30,33,35,36
3,4593,3,8,10,18,19,24,39
4,4592,9,13,14,18,28,33,38
5,4591,6,14,22,24,29,30,31
6,4590,4,10,16,18,23,29,39
7,4589,16,22,24,26,32,35,38
8,4588,8,9,17,20,31,35,37
...
4571,25,2,6,11,19,20,27,32
4572,24,1,7,9,24,28,29,30
4573,23,4,5,8,14,26,31,36
4574,22,12,17,19,25,27,29,33
4575,21,2,9,18,21,25,28,34
4576,20,5,8,24,25,28,29,33
4577,19,10,17,19,21,30,35,38
4578,18,2,7,12,13,19,24,35
4579,17,5,9,18,21,22,28,35
4580,16,7,11,25,27,31,36,38
4581,15,4,8,16,24,32,35,36
4582,14,16,20,26,28,30,35,36
4583,13,8,9,10,22,31,34,36
4584,12,15,17,28,29,31,32,35
4585,11,14,15,16,20,24,27,39
4586,10,2,12,16,20,26,28,36
4587,9,1,5,19,24,26,30,34
4588,8,5,9,12,28,32,36,38
4589,7,2,3,7,8,20,23,26
4590,6,6,7,16,24,34,38,39
4591,5,3,4,8,11,29,32,37
4592,4,17,20,23,26,35,36,38
4593,3,13,17,18,20,21,26,39
4594,2,2,3,13,18,19,23,37
4595,1,5,14,15,17,28,30,34
